,title,company,location,salary,summary
192,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
193,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
194,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
195,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
196,Data Scientist Inter,Nestlé,"North York, ON",,"Will explore data, answering questions and finding new business opportunities.Experience with data visualization tools is a plus (QlikView, Microsoft BI)."
197,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
198,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
199,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
200,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
201,Data Scientist,apptoza inc,"Toronto, ON•Temporarily Remote",,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Extract data from multiple sources.
202,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
203,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
204,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
205,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
206,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
207,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
208,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
209,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
210,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
211,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
212,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
213,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
214,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
215,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
216,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
217,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
218,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
219,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
220,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
221,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
222,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
223,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
224,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
225,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
226,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
227,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
228,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
229,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
230,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
231,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
232,Data Analyst,Cognizant Technology Solutions,"Mississauga, ON",,"2-7years of professional experience with data analysis, database design or data mining or equivalent combination of transferrable experience and education in…"
233,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
234,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
235,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
236,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
237,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
238,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
239,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
240,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
241,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
242,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
243,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
244,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
245,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
246,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
247,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
248,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
249,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
250,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
251,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
252,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
253,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
254,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
255,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
256,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
257,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
258,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
259,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
260,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
261,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
262,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
263,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
264,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
265,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
266,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
267,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
268,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
269,Data Science - Trading,CPQi,"Toronto, ON+1 location","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
270,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
271,"Data Scientist, Machine Learning",Carta,"Waterloo, ON",,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.
272,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
273,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
274,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
275,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
276,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
277,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
278,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
279,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
280,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
281,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
282,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
283,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
284,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
285,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
286,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
287,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
288,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
289,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
290,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
291,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
292,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
293,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
294,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
295,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
296,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
297,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
298,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
299,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
300,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
301,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
302,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
303,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
304,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
305,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
306,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
307,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
308,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
309,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
310,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
311,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
312,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
313,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
314,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
315,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
316,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
317,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
318,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
319,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
320,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
321,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
322,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
323,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
324,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
325,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
326,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
327,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
328,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
329,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
330,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
331,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
332,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
333,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
334,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
335,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
336,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
337,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
338,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
339,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
340,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
341,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
342,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
343,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
